ax (m/s^2), ay (m/s^2), az (m/s^2), gx (rps), gy (rps), gz (rps), temp (C)
9.98622, 0.00239, -0.28491, 0.00679, 0.03584, 0.02145, 32.72612
9.99579, -0.05028, -0.32322, -0.00013, 0.03797, 0.01572, 32.72612
9.98382, -0.02394, -0.22027, 0.00360, -0.00346, 0.01585, 32.58235
9.95030, -0.03831, -0.32082, 0.00213, 0.05609, 0.01346, 32.72612
9.98143, -0.03831, -0.28252, -0.00053, 0.02078, 0.01452, 32.63028
9.93594, -0.05507, -0.25379, 0.00733, 0.00027, 0.01572, 32.58235
9.96467, -0.00239, -0.27533, 0.00053, 0.05343, 0.01346, 32.72612
9.97424, -0.03591, -0.36871, 0.00360, 0.02278, 0.01399, 32.58235
9.99340, -0.04070, -0.22027, 0.00107, 0.02438, 0.01452, 32.72612
9.99100, -0.00479, -0.25379, 0.00653, 0.03904, 0.01799, 32.63028
9.99100, -0.03591, -0.30406, 0.01092, 0.02518, 0.01399, 32.72612
9.98143, -0.01676, -0.33758, -0.00759, 0.01572, 0.01759, 32.91781
9.97424, -0.02873, -0.21548, 0.00386, 0.04970, 0.01665, 32.72612
9.97424, -0.03112, -0.29688, 0.00386, 0.03064, 0.01825, 32.53443
10.00297, 0.00479, -0.27773, 0.01252, 0.04890, 0.01466, 32.63028
10.00297, -0.03112, -0.27054, 0.00613, 0.02598, 0.01359, 32.72612
9.95509, -0.07661, -0.26097, 0.00360, 0.02145, 0.01932, 32.77404
9.99340, 0.01197, -0.25857, -0.00133, 0.03038, 0.02172, 32.72612
9.97903, 0.00958, -0.29209, 0.00480, 0.00160, 0.01172, 32.53443
9.97424, -0.03352, -0.32801, 0.00013, 0.01279, 0.01585, 32.72612
9.96946, 0.01437, -0.28970, 0.00400, 0.01572, 0.01212, 32.72612
9.98861, -0.04549, -0.28012, 0.00600, 0.00200, 0.01439, 32.63028
9.99100, 0.00958, -0.30646, -0.00360, 0.01759, 0.02531, 32.58235
10.02452, -0.00958, -0.33519, 0.00253, 0.04370, 0.02158, 32.58235
9.98861, -0.04549, -0.26336, -0.00360, 0.00999, 0.00653, 32.63028
9.97903, -0.00958, -0.24660, -0.00107, 0.02185, 0.01372, 32.58235
9.97664, -0.06704, -0.37110, 0.00200, 0.01692, 0.00946, 32.77404
9.98143, 0.00239, -0.29688, 0.00653, 0.00293, 0.01572, 32.58235
9.94791, -0.00239, -0.26336, 0.00693, 0.02438, 0.01159, 32.72612
9.98861, -0.00239, -0.29928, -0.00027, 0.03024, 0.01332, 32.77404
9.99819, -0.04788, -0.29928, -0.00093, -0.00746, 0.01359, 32.43858
10.00776, -0.00239, -0.25618, 0.00093, 0.02332, 0.01585, 32.53443
9.96946, -0.00479, -0.21069, -0.00426, 0.02225, 0.02172, 32.58235
9.99819, 0.02155, -0.23224, 0.00320, 0.02891, 0.02238, 32.72612
9.96946, -0.02394, -0.32801, -0.00426, 0.02185, 0.01132, 32.58235
9.97664, -0.02155, -0.30885, -0.00240, 0.04130, 0.02531, 32.72612
10.01973, -0.01437, -0.21787, 0.00506, 0.01132, 0.01386, 32.63028
9.97424, -0.03112, -0.16041, 0.00000, 0.02531, 0.01852, 32.58235
9.95749, -0.05267, -0.24181, 0.00013, 0.01839, 0.01545, 32.63028
9.98861, -0.00718, -0.19393, 0.00013, 0.03038, 0.01452, 32.58235
9.96946, -0.00479, -0.30885, -0.00533, 0.01492, 0.01625, 32.39066
9.99100, -0.00958, -0.35195, 0.00933, 0.01958, 0.01599, 32.72612
9.98861, 0.00000, -0.25857, 0.00093, -0.01732, 0.01439, 32.77404
9.96706, 0.00239, -0.22266, 0.00280, 0.00693, 0.01639, 32.91781
9.98622, -0.03352, -0.23942, -0.00280, 0.05369, 0.01932, 32.53443
9.97903, -0.01197, -0.28252, 0.00120, 0.00360, 0.01759, 32.63028
10.00297, -0.05746, -0.29449, 0.00600, 0.03024, 0.01519, 32.58235
9.98622, -0.01676, -0.27054, 0.00666, -0.00173, 0.01785, 32.72612
9.94551, -0.06225, -0.25139, -0.00293, 0.02838, 0.01852, 32.24690
10.00058, 0.00958, -0.25139, 0.00173, 0.04250, 0.01879, 32.63028
9.98622, -0.00958, -0.21548, 0.00133, 0.02065, 0.01492, 32.72612
9.99819, -0.04310, -0.25379, 0.00453, 0.01506, 0.00613, 32.91781
9.98143, -0.02394, -0.22027, 0.00879, 0.03491, 0.01785, 32.72612
10.04128, -0.01437, -0.27054, 0.00306, 0.03824, 0.02092, 32.58235
10.01734, -0.05986, -0.25857, 0.00040, 0.04903, 0.01332, 32.58235
9.99340, -0.00958, -0.25618, 0.00373, 0.04423, 0.01932, 32.53443
9.95749, -0.03831, -0.25857, -0.00226, 0.01985, 0.01386, 32.82197
9.99579, -0.03112, -0.26576, -0.00346, 0.00293, 0.02318, 32.58235
9.95749, -0.04788, -0.26336, 0.00200, 0.04037, 0.01519, 32.91781
10.01016, 0.01676, -0.28730, 0.00613, 0.02411, 0.01759, 32.63028
9.95509, -0.02634, -0.18914, 0.00120, 0.00959, 0.01705, 32.63028
9.98861, 0.00958, -0.30646, 0.00346, 0.02705, 0.01732, 32.72612
